image,gt,yolo_det,ensemble_masks,vetoed,yolo_tp,yolo_fp,yolo_fn,ensemble_tp,ensemble_fp,ensemble_fn
060130.jpg,2,2,2,0,1,1,1,1,1,1
060137.jpg,4,5,5,0,4,1,0,4,1,0
060138.jpg,3,2,1,1,2,0,1,1,0,2
060145.jpg,5,6,6,0,4,2,1,4,2,1
060151.jpg,1,1,1,0,1,0,0,1,0,0
060164.jpg,2,0,0,0,0,0,2,0,0,2
060176.jpg,2,2,2,0,2,0,0,2,0,0
060177.jpg,3,2,2,0,1,1,2,1,1,2
060188.jpg,2,2,2,0,1,1,1,1,1,1
060192.jpg,5,2,1,1,2,0,3,1,0,4
060194.jpg,5,4,4,0,2,2,3,2,2,3
060207.jpg,2,2,2,0,2,0,0,2,0,0
060213.jpg,3,3,3,0,3,0,0,3,0,0
060225.jpg,1,2,2,0,0,2,1,0,2,1
060227.jpg,2,2,2,0,2,0,0,2,0,0
060234.jpg,7,6,6,0,5,1,2,5,1,2
060235.jpg,4,3,3,0,2,1,2,2,1,2
060242.jpg,7,5,5,0,4,1,3,4,1,3
060248.jpg,2,2,2,0,2,0,0,2,0,0
060254.jpg,4,4,4,0,2,2,2,2,2,2
060255.jpg,4,3,3,0,2,1,2,2,1,2
060279.jpg,7,6,6,0,5,1,2,5,1,2
060284.jpg,3,3,3,0,3,0,0,3,0,0
060310.jpg,2,1,1,0,1,0,1,1,0,1
060315.jpg,3,2,2,0,1,1,2,1,1,2
060333.jpg,3,3,3,0,2,1,1,2,1,1
060345.jpg,4,4,3,1,2,2,2,2,1,2
060357.jpg,2,1,1,0,1,0,1,1,0,1
060372.jpg,3,1,1,0,1,0,2,1,0,2
060377.jpg,4,5,5,0,4,1,0,4,1,0
060381.jpg,3,3,3,0,3,0,0,3,0,0
060384.jpg,2,2,2,0,2,0,0,2,0,0
060388.jpg,8,8,8,0,7,1,1,7,1,1
060398.jpg,3,2,2,0,1,1,2,1,1,2
060400.jpg,5,4,3,1,3,1,2,3,0,2
060407.jpg,4,2,2,0,2,0,2,2,0,2
060408.jpg,3,3,3,0,1,2,2,1,2,2
060411.jpg,3,3,3,0,0,3,3,0,3,3
060415.jpg,3,2,2,0,1,1,2,1,1,2
060430.jpg,3,3,3,0,2,1,1,2,1,1
060432.jpg,4,4,2,2,4,0,0,2,0,2
060455.jpg,4,2,2,0,1,1,3,1,1,3
060457.jpg,2,2,2,0,2,0,0,2,0,0
060468.jpg,5,6,5,1,5,1,0,5,0,0
060469.jpg,6,5,5,0,5,0,1,5,0,1
060480.jpg,2,2,2,0,2,0,0,2,0,0
060483.jpg,3,2,2,0,1,1,2,1,1,2
